Date Reported,Date Occurred,Time Occurred,Incident Type,Location,Incident/Case#,Summary,Disposition
01/03/20,01/03/20,2:01 PM,Petty Theft/Vandalism,Black Hall,2020‐0008,"Spin scooter stolen/recovered, tampered with electronically",Report Taken
01/06/20,01/06/20,12:13 PM,Petty Theft,Thurgood Marshall Ln/Scholars Dr North,2001060033,"Bicycle theft, victim will file online report when serial number is acquired",Service Provided
01/06/20,01/06/20,4:05 PM,Petty Theft,Engineering Building Unit 3B,2020‐0021,"Electric scooter, u‐lock stolen; loss $550",Report Taken
01/07/20,01/07/20,4:05 PM,Petty Theft,Tioga Hall,2020‐0026,Bicycle stolen; loss $275,Report Taken
01/07/20,01/07/20,8:10 AM ‐ 2:30 PM,Theft,Lebon Dr,T20000008,Bicycle stolen; loss $30,Online Report
01/08/20,01/08/20 ‐ 01/09/20,6:45 PM ‐ 8:45 AM,Bicycle Theft,Regents Rd,T20000012,Bicycle stolen; loss $400,Online Report
01/08/20,01/08/20 ‐ 01/09/20,12:00 AM ‐ 6:30 AM,Theft,Sixth College Apartment,T20000011,Electric scooter stolen; loss $600,Online Report
01/08/20,01/08/20,7:10 PM ‐ 10:00 PM,Bicycle Theft,Miramar Street,2020‐0037,"Bicycle frame, back tire stolen; loss $400",Online Report
01/09/20,01/09/20,2:53 PM,Bicycle Theft,Muir Commons,2001090032,"Bicycle stolen, will call back at later time after gathering information on bicycle",Cancelled
01/09/20,01/09/20,9:15 AM ‐ 2:00 PM,Theft,Revelle Keeling South Tower Apartments,T20000013,Front wheel of bicycle stolen; loss $125,Online Report
1/13/2020,1/13/2020,7:49 PM,Petty Theft,Robert Paine Center,2001130051,Unknown male possibly cutting locks off bikes; subject pumping up their bike tire,Checks OK
1/20/2020,1/20/2020,2:30 PM,Petty Theft,Mesa Nueva Building B,2020‐0133,"Unknown suspect was seen walking away with a bicycle and UCSD bicycle rack, victim or amount of loss for bicycle unknown at this time, loss of bicycle rack $200.00",Report Taken
1/22/2020,1/21/2020,5:15 PM,Petty Theft ‐ Bicycle,UCSD Medical Facility ‐ Hillcrest,HC20‐01‐21‐0124,Bicycle was stolen from the employee bike rack,Referred to Other Agency ‐ San Diego Police Department
1/24/2020,1/17/20 ‐ 1/24/20,12:00 AM ‐ 12:20 PM,Petty Theft ‐ Bicycle,Mesa Nueva Fitness Facility Bicycle Rack,2020‐0182,"Victim's bicycle and entire bicycle rack stolen, loss $700.00",Online Report
01/24/20,1/17/20 ‐ 1/24/20,12:00 AM ‐ 12:20 PM,Bicycle Theft,Miramar Street,2020‐0182,Bicycle stolen; loss $600,Online Report
01/28/20,01/28/20,8:17 PM,Petty Theft,Natural Sciences Building,2020‐0200,Bicycle with cable stolen; loss $210,Report Taken
01/29/20,01/29/20,1:30 PM ‐ 3:05 PM,Theft,Pepper Canyon Hall,T20000044,Razor scooter stolen; loss $59.98,Online Report
01/30/20,01/30/20,7:00 PM ‐ 10:30 PM,Petty Theft,Geisel Library,2020‐0217,Electric scooter stolen; loss $634.65,Report Taken
01/30/20,01/07/20 ‐ 01/11/20,4:55 PM ‐ 2:55 PM,Theft,Keeling Apartment,2020‐0220,Black electric skateboard stolen; loss $700,Online Report
2/7/2020,2/6/2020,8:15 AM - 7:15 PM,Petty Theft - Bicycle,1 Miramar Bldg 2,2020-0268,Unknown suspect(s) stole bike from storage room,Online Report
2/7/2020,2/6/2020,10:00 AM - 11:45 AM,Grand Theft - Bicycle,East Campus Office Building,2020-0269,Unknown suspect(s) stole bike off back of vehicle; Loss $7500,Disposition Report Taken
2/7/2020,2/6/2020 - 2/7/2020,5:55 PM - 9:55 AM,Petty Theft - Bicycle,Tioga Residence Hall,T20000066,Unknown suspect(s) stole bike from bike rack; Loss $549,Disposition Online Report
02/14/20,02/12/20,6:30 PM ‐ 10:00 PM,Theft,Cognitive Science Building,T20000074,Bicycle stolen; loss $150,Online Report
02/18/20,02/18/20,10:39 PM,Petty Theft,Computer Sciences and Engineering Building,2020‐0330,Electric scooter stolen; loss $450,Report Taken
02/18/20,02/18/20,12:00 PM ‐ 6:45 PM,Bicycle Theft,Leichtag Building,T20000079,Bicycle stolen; loss $400,Online Report
02/18/20,02/15/20,7:00 AM ‐ 8:30 PM,Bicycle Theft,Hopkins Dr,T20000078,Electric bicycle stolen; loss $299,Online Report
2/19/2020,2/19/2020,4:20 PM ‐ 6:20 PM,Bicycle Theft,UC San Diego Campus,T20000083,Bicycle stolen; loss $800,Online Report
2/19/2020,2/19/2020,3:30 PM,Theft of Bicycle Parts,Sixth College Apartments,T20000082,Three bike seats stolen; loss $30,Online Report
2/19/2020,2/15/20 ‐ 2/19/20,2:35 PM,Bicycle Theft,Scholars Dr,T20000081,Schwinn bicycle stolen; loss $500,Online Report
02/20/20,02/15/20,7:30 AM ‐ 8:30 PM,Bicycle Theft,Spanos Athletic Training Center,2020‐0347,Electric bicycle stolen; loss $400,Online Report
02/20/20,2/15/20 ‐ 2/17/20,1:00 PM ‐ 4:00 PM,Theft,The Village West,2020‐0346,Black electric bicycle stolen; loss $420.21,Online Report
2/29/2020,2/22/2020 - 2/24/2020,12:00 AM 0 12:00 AM,Petty Theft,Lyman Avenue,T20000095,"Stolen scooter, loss $200.00",Online Report
03/14/20,3/11/2020 ‐ 3/12/2020,Unknown,Petty Theft,Oceanview Terrace ‐ Bridge,T20000115,"Scooter locked up with bike lock stolen, loss $400.00",Online Report
03/15/20,3/11/2020 ‐ 3/13/2020,8:55 PM ‐ 1:00 PM,Petty Theft,Miramar St,2020‐0488,"Bicycle bag with student ID stolen from parked bike, loss $75.00",Online Report
4/4/2020,4/4/2020,4:30 PM ‐ 4:40 PM,Petty Theft,Canyon Vista Dining Hall,2020‐0544,Unknown suspect stole unattended electric scooter outside dining hall,Report Taken
4/4/2020,4/3/2020 ‐ 4/4/2020,12:00 PM ‐ 11:50 PM,Petty Theft ‐ Bicycle Part,Mesa Nueva ‐ Artesa,2020‐0546,"Stolen bicycle seat, loss $150.00",Report Taken
4/29/2020,4/29/2020,3:06 PM,Petty Theft,Mesa Nueva ‐ Piedra,2020‐0609,Two bike racks stolen; loss $800,Report Taken
4/29/2020,4/28/2020,2:00 PM,Theft,UC San Diego Health ‐ La Jolla,LJ 20‐04‐28‐0492,Report of stolen bicycle,Hospital Security Report Taken
5/1/2020,3/16/2020,1:10 PM,Petty Theft ‐ Bicycle / Scooter,Sixth College Res Hall ‐ Bike Rack,T20000130,"Unknown suspect cut lock off bicycle and scooter, Loss $1,073.00",Online Report
5/23/2020,5/16/2020 ‐ 5/22/2020,3:00 PM ‐ 6:00 PM,Petty Theft,Mesa Nueva Parking ‐ Ola,2020‐0676,Unknown suspect(s) removed bike rack off vehicle; Loss $135.00,Report Taken
6/1/2020,6/1/2020,1:29 AM,Petty Theft ‐ Bicycle,Marshal College,2020‐0695,"RSO heard bike lock being cut, male suspect pulled bike away from bike rack and rode away: Loss $150.00",Arrest Cleared ‐ Cited Adult
6/4/2020,6/3/2020,5:00 PM,Petty Theft ‐ Bicycle,UCSD Medical Facility ‐ Hillcrest,HC20‐06‐03‐0919,"Unknown suspect took victim's bike from bike rack, Loss unknown",Hospital Security Report Taken
6/9/2020,6/9/2020,12:00 PM,Theft,Miramar Street,T20000146,Bicycle stolen; loss $459.99,Online Report
7/13/2020,7/12/2020,7:40 PM,Petty Theft ‐ Bicycle Parts,Arbor Parking Structure ‐ Hillcrest,HC20‐07‐12‐1137,"Lights stolen off bicycle, amount of loss unknown",Hospital Security Report Taken
7/25/2020,7/24/2020 ‐ 7/25/2020,12:00 PM ‐12:20 AM,Petty Theft ‐ Bicycle,South Mesa Apts,2020‐0840,"Unknown suspect(s) stole unlocked bike from front of residence, Loss $150.00",Online Report
8/4/2020,8/4/2020,7:55 AM ‐ 2:05 PM,Petty Theft ‐ Bicycle,Price Center East,2020‐0887,"Unknown suspect(s) stole items off bicycle, Loss $151.00",Report Taken
8/20/2020,8/19/2020 ‐ 8/20/2020,10:00 PM ‐ 1:45 PM,Petty Theft / Injury,East Campus Medical Center Central Plant,2020‐0937,"Unknown suspect(s) stole part off front bicycle wheel, victim crashed and sustained an injury",Report Taken
9/4/2020,09/02/20 ‐ 09/04/20,3:00 PM ‐ 11:35 PM,Bicycle Theft,Mesa Nueva ‐ Artesa,2020‐0970,Electric bicycle stolen; loss $2000.00,Report Taken
9/4/2020,08/29/20 ‐ 09/04/20,8:00 PM ‐ 3:00 PM,Bicycle Theft,Mesa Nueva ‐ Cresta,2020‐0969,Bicycle stolen; loss $250,Report Taken
9/14/2020,9/14/2020,3:44 PM,Grand Theft: Bicycle,Nuevo East ‐ Tierra,2020‐1000,Bicycle stolen from bike rack; loss $1550.00,Report Taken
10/3/2020,10/3/2020,2:39 PM,Petty Theft,Seventh College West Building 3,2010030023,Unknown subject took reporting party's skateboard from laundry room,Service Provided
10/7/2020,10/6/2020,Unknown,Petty Theft ‐ Bicycle,La Jolla Del Sol,2020‐1096,Bike officer impounded unsecured bicycle,Unfounded
10/11/2020,03/01/2020 ‐ 10/09/2020,12:00 PM ‐ 1:00 PM,Petty Theft ‐ Bicycle,Center Hall,2020‐1125,"Unknown suspect(s) stole parts from bicycle, Loss $700.00",Online Report
10/13/2020,10/12/2020 ‐ 10/13/2020,9:30 AM ‐ 8:50 AM,Petty Theft ‐ Bicycle,9906 Scholars Dr North,2020‐1126,"Unknown suspect(s) stole front tire from victims bike, Loss$ 85.00",Online Report
10/17/2020,10/17/2020,12:36 PM,Petty Theft ‐ Bicycle,UCSD Police Department,2010170022,"Questsoins regarding theft of bicycle, victim will make report once all needed information is had",Service Provided
10/25/2020,10/25/2020,10:28 AM,Petty Theft,Scholars Dr North,2010250015,Unknown subject stole battery pack from bicycle,Unknwon
11/1/2020,11/1/2020,1:22 AM,Petty Theft ‐ Bicycle,Seventh College West #8,2011010019,Sound of bike locks being broken after 2 males seen near bike racks,Unable To Locate
11/2/2020,11/1/2020,7:45 PM,Theft,Sulpizio Cardiovascular Center,LJ20‐11‐01‐0983,Bicycle stolen from bike rack,Hospital Security Report Taken
11/7/2020,10/26/2020 ‐ 11/7/2020,10:00 PM‐2:00 PM,Grand Theft ‐ Micro Mobility Device (Motor Vehicle Theft),Meteor Hall,2020‐1206,"Unknown subject took victim's electric bicycle, loss 2,400.00",Report Taken
11/18/2020,11/18/2020,11:56 AM,Petty Theft,Argo Hall,2011180037,Subject possibly cutting bike locks,Unable to Locate
11/22/2020,11/22/2020,11:28 AM,Petty Theft - Bicycles,Central Mesa Apts,2011220022,"2 bikes missing from bike cage, will call back if reporting party wants to file theft report",Service Provided
12/16/2020,12/16/2020,5:30 PM ‐ 9:35 PM,Theft ‐ Bicycle,Price Center Target,T20000271,"Stolen electric bicycle, loss $500.00",Online Report
12/27/2020,12/27/2020,3:22 PM,Petty Theft,One Miramar Street,2020‐1353,"Unknown suspect(s) removed bicycle's handlebars, loss $100.00",Report Taken
1/17/2021,1/17/2021,4:30 PM ‐ 5:30 PM,Petty Theft ‐ Bicycle,La Jolla Del Sol Apartments,2021‐0054,"Bicycle stolen from outside bike rack, loss $230.00",Report Taken
1/29/2021,1/29/2021,1:40 PM ‐ 4:30 PM,Petty Theft,Thurgood Marshall Res Hall,2021‐0095,"Unknown suspect(s) stole victims electric scooter from bike rack, Loss $300.00",Online Report
2/10/2021,2/9/2021,1:00 PM ‐ 3:00 PM,Petty Theft ‐ Bicycle,Telemedicine Center,2021‐0139,"Stolen bicycle and cable lock, loss $670.00",Report Taken
2/11/2021,2/11/2021,1:00 PM ‐ 3:15 PM,Petty Theft,10010 N. Torrey Pines Rd.,T21000025,"Unattended skateboard stolen from bushes, loss $180.00",Report Taken
2/12/2021,2/12/2021,11:47 PM,Petty Theft ‐ Bicycle,Tioga Hall,2021‐0153,"Reporting party heard bike lock being cut, male was seen getting on bike and rode away, Loss $549.00",Report Taken
2/15/2021,2/15/2021,1:45 PM,Petty Theft ‐ Bicycle Parts,Del Sol Apts,2021‐0164,"Unknown suspect(s) sawed off battery pack from electric bike, Loss $500.00",Online Report
2/16/2021,2/14/2021 ‐ 2/15/2021,9:30 pm ‐ 9:30 pm,Petty Theft ‐ Bicycle,8212 Regents Rd,T21000029,"Unknown suspect(s) stole bike lights and attempted to steal victims bike, Loss $25.00",Online Report
2/17/2021,2/17/2021,4:24 PM,Petty Theft ‐ Bicycle,Warren Mall,2102170045,Male seen taking apart bikes at bike rack,Unable To Locate
2/18/2021,2/17/2021 ‐ 2/18/2021,6:30 pm ‐ 9:30 am,Petty Theft ‐ Bicycle,La Jolla Del Sol Apts,2021‐0173,"Unknown suspect(s) stole victim's front and rear bike tires, Loss $200.00",Report Taken
2/25/2021,2/25/2021,2:57 PM,Report of Petty Theft,Marshall Apartments,2102250043,"Subject reported bicycle 0stolen, stated was going to make an online report",Service Provided
2/25/2021,2/25/2021,6:40 PM,Petty Theft,Price Center,2102250054,Subject seen removing bicycle parts from a secured bicycle,Closed by Adult Citation
3/5/2022,3/5/2022,7:00 PM ‐ 8:45 PM,Petty Theft ‐ Micro Mobility Device,Main Gym,T22000104,"Electric bicycle, loss $500.00",Online Report
3/29/2021,3/28/2021,9:55 pm ‐ 10:10 pm,Petty Theft ‐ Micro Mobility Device,9450 Gilman Dr,T21000049,"Unknown suspect(s) stole secured electric bike, Loss $800.00",Report Taken
4/13/2021,4/13/2021,10:09 AM,Petty Theft ‐ Bicycle,Central Mesa Apts,2021‐0341,Male suspect seen cutting bike lock and riding away from area,"Closed By Citation, Adult"
5/1/2021,5/1/2021,10:45 AM,Petty Theft,La Jolla Del Sol Apartments,2105010020,Report of bicycle parts tampered with,Service Provided
5/11/2021,5/6/2021,12:00am ‐ 12:05am,Petty Theft ‐ Bicycle,1 Miramar St,2021‐0427,"Bicycle helmet stolen off of bicycle, Loss $53.88",Online Report
5/17/2021,5/10/2021 ‐ 5/15/2021,1:05 PM ‐ 2:05 PM,Stolen Vehicle/Petty Theft of Micro Mobility Device,Muir College,T21000069,"Stolen black electric bicycle, loss $1,000.00",Online Report
5/26/2021,5/26/2021,4:30 PM ‐ 10:00 PM,Stolen Vehicle/Micro Mobility Device Theft,NTPLL ‐ Parking,2021‐0494,"Stolen electric scooter, loss $700.00",Report Taken
7/7/2021,7/7/2021,2:47 AM,Petty Theft,NTPLL ‐ Tapestry,2107070007,Unknown subject seen using electric tool to steal bike from bike rack,Unable To Locate
7/8/2021,7/7/2021,12:21 PM,Petty Theft ‐ Bicycle,La Jolla del Sol,2021‐0621,"Bicycle's rear wheel was removed, loss $300.00",Online Report
7/14/2021,7/14/2021,9:00 PM ‐ 10:00 PM,Stolen Vehicle ‐ Theft Of Micro Mobility Device,Discovery Hall,T21000089,"Stolen electric scooter, loss $500.00",Online Report
7/18/2021,7/7/2021 ‐ 7/18/2021,9:00 PM ‐4:30 PM,Stolen Vehicle / Grand Theft: Micro Mobility Device,NTPLL ‐ Kaleidoscope,2021‐0646,"Electric bicycle stolen from bike rack, loss $2,320.84",Report Taken
