Incident Type,Location,Summary,Timestamp,Price Category,Latitude,Longitude
Petty Theft/Vandalism,Black Hall,"Spin scooter stolen/recovered, tampered with electronically",2020-01-03 14:01:00,Low,32.8821063,-117.2327146
Petty Theft,Thurgood Marshall Ln/Scholars Dr North,"Bicycle theft, victim will file online report when serial number is acquired",2020-01-06 12:13:00,Low,32.8837304,-117.2424096
Petty Theft,Engineering Building Unit 3B,"Electric scooter, u‐lock stolen; loss $550",2020-01-06 16:05:00,Expensive,,
Petty Theft,Tioga Hall,Bicycle stolen; loss $275,2020-01-07 16:05:00,Expensive,32.8790439,-117.2433669
Theft,Lebon Dr,Bicycle stolen; loss $30,2020-01-07 14:30:00,Low,32.8678861,-117.2247509
Bicycle Theft,Regents Rd,Bicycle stolen; loss $400,2020-01-09 18:45:00,Expensive,32.8552295,-117.2176209
Theft,Sixth College Apartment,Electric scooter stolen; loss $600,2020-01-09 06:30:00,Expensive,32.8807011,-117.2420455
Bicycle Theft,Miramar Street,"Bicycle frame, back tire stolen; loss $400",2020-01-08 22:00:00,Expensive,32.8735076,-117.2238704
Bicycle Theft,Muir Commons,"Bicycle stolen, will call back at later time after gathering information on bicycle",2020-01-09 14:53:00,Low,,
Theft,Revelle Keeling South Tower Apartments,Front wheel of bicycle stolen; loss $125,2020-01-09 14:00:00,Low,,
Petty Theft,Robert Paine Center,Unknown male possibly cutting locks off bikes; subject pumping up their bike tire,2020-01-13 19:49:00,Low,,
Petty Theft,Mesa Nueva Building B,"Unknown suspect was seen walking away with a bicycle and UCSD bicycle rack, victim or amount of loss for bicycle unknown at this time, loss of bicycle rack $200.00",2020-01-20 14:30:00,Expensive,32.8756502,-117.2224578
Petty Theft ‐ Bicycle,UCSD Medical Facility ‐ Hillcrest,Bicycle was stolen from the employee bike rack,2020-01-21 17:15:00,Low,,
Petty Theft ‐ Bicycle,Mesa Nueva Fitness Facility Bicycle Rack,"Victim's bicycle and entire bicycle rack stolen, loss $700.00",2020-01-24 12:20:00,Expensive,32.8756502,-117.2224578
Bicycle Theft,Miramar Street,Bicycle stolen; loss $600,2020-01-24 12:20:00,Expensive,32.8735076,-117.2238704
Petty Theft,Natural Sciences Building,Bicycle with cable stolen; loss $210,2020-01-28 20:17:00,Expensive,32.8752882,-117.2423111
Theft,Pepper Canyon Hall,Razor scooter stolen; loss $59.98,2020-01-29 15:05:00,Medium,32.8783769,-117.2337607
Petty Theft,Geisel Library,Electric scooter stolen; loss $634.65,2020-01-30 22:30:00,Expensive,32.881092,-117.2375659
Theft,Keeling Apartment,Black electric skateboard stolen; loss $700,2020-01-11 16:55:00,Expensive,,
Petty Theft - Bicycle,1 Miramar Bldg 2,Unknown suspect(s) stole bike from storage room,2020-02-06 19:15:00,Low,,
Grand Theft - Bicycle,East Campus Office Building,Unknown suspect(s) stole bike off back of vehicle; Loss $7500,2020-02-06 11:45:00,Expensive,32.8764715,-117.2274676
Petty Theft - Bicycle,Tioga Residence Hall,Unknown suspect(s) stole bike from bike rack; Loss $549,2020-02-07 17:55:00,Expensive,,
Theft,Cognitive Science Building,Bicycle stolen; loss $150,2020-02-12 22:00:00,Low,32.8805813,-117.2395409
Petty Theft,Computer Sciences and Engineering Building,Electric scooter stolen; loss $450,2020-02-18 22:39:00,Expensive,,
Bicycle Theft,Leichtag Building,Bicycle stolen; loss $400,2020-02-18 18:45:00,Expensive,32.8767963,-117.2372406
Bicycle Theft,Hopkins Dr,Electric bicycle stolen; loss $299,2020-02-15 20:30:00,Expensive,32.8862472,-117.2386908
Bicycle Theft,UC San Diego Campus,Bicycle stolen; loss $800,2020-02-19 18:20:00,Expensive,32.881168,-117.2343605
Theft of Bicycle Parts,Sixth College Apartments,Three bike seats stolen; loss $30,2020-02-19 15:30:00,Low,32.8807011,-117.2420455
Bicycle Theft,Scholars Dr,Schwinn bicycle stolen; loss $500,2020-02-19 14:35:00,Expensive,32.8842874,-117.2424066
Bicycle Theft,Spanos Athletic Training Center,Electric bicycle stolen; loss $400,2020-02-15 20:30:00,Expensive,,
Theft,The Village West,Black electric bicycle stolen; loss $420.21,2020-02-17 16:00:00,Expensive,,
Petty Theft,Lyman Avenue,"Stolen scooter, loss $200.00",2020-02-24 00:00:00,Expensive,32.8782848,-117.2385931
Petty Theft,Oceanview Terrace ‐ Bridge,"Scooter locked up with bike lock stolen, loss $400.00",2020-03-12 00:00:00,Expensive,32.8831037,-117.2427668
Petty Theft,Miramar St,"Bicycle bag with student ID stolen from parked bike, loss $75.00",2020-03-13 20:55:00,Medium,32.8735076,-117.2238704
Petty Theft,Canyon Vista Dining Hall,Unknown suspect stole unattended electric scooter outside dining hall,2020-04-04 16:40:00,Low,,
Petty Theft ‐ Bicycle Part,Mesa Nueva ‐ Artesa,"Stolen bicycle seat, loss $150.00",2020-04-04 23:50:00,Low,32.87478000000001,-117.22222
Petty Theft,Mesa Nueva ‐ Piedra,Two bike racks stolen; loss $800,2020-04-29 15:06:00,Expensive,,
Theft,UC San Diego Health ‐ La Jolla,Report of stolen bicycle,2020-04-28 14:00:00,Low,32.881851,-117.223526
Petty Theft ‐ Bicycle / Scooter,Sixth College Res Hall ‐ Bike Rack,"Unknown suspect cut lock off bicycle and scooter, Loss $1,073.00",2020-03-16 13:10:00,Low,32.8807011,-117.2420455
Petty Theft,Mesa Nueva Parking ‐ Ola,Unknown suspect(s) removed bike rack off vehicle; Loss $135.00,2020-05-22 18:00:00,Low,32.8756502,-117.2224578
Petty Theft ‐ Bicycle,Marshal College,"RSO heard bike lock being cut, male suspect pulled bike away from bike rack and rode away: Loss $150.00",2020-06-01 01:29:00,Low,32.8831443,-117.2431716
Petty Theft ‐ Bicycle,UCSD Medical Facility ‐ Hillcrest,"Unknown suspect took victim's bike from bike rack, Loss unknown",2020-06-03 17:00:00,Low,,
Theft,Miramar Street,Bicycle stolen; loss $459.99,2020-06-09 12:00:00,Expensive,32.8735076,-117.2238704
Petty Theft ‐ Bicycle Parts,Arbor Parking Structure ‐ Hillcrest,"Lights stolen off bicycle, amount of loss unknown",2020-07-12 19:40:00,Low,,
Petty Theft ‐ Bicycle,South Mesa Apts,"Unknown suspect(s) stole unlocked bike from front of residence, Loss $150.00",2020-07-25 12:00:00,Low,,
Petty Theft ‐ Bicycle,Price Center East,"Unknown suspect(s) stole items off bicycle, Loss $151.00",2020-08-04 14:05:00,Expensive,32.8794123,-117.2368497
Petty Theft / Injury,East Campus Medical Center Central Plant,"Unknown suspect(s) stole part off front bicycle wheel, victim crashed and sustained an injury",2020-08-20 22:00:00,Low,32.8773757,-117.2250874
Bicycle Theft,Mesa Nueva ‐ Artesa,Electric bicycle stolen; loss $2000.00,2020-09-04 23:35:00,Expensive,32.87478000000001,-117.22222
Bicycle Theft,Mesa Nueva ‐ Cresta,Bicycle stolen; loss $250,2020-09-04 20:00:00,Expensive,32.875004,-117.2229999
Grand Theft: Bicycle,Nuevo East ‐ Tierra,Bicycle stolen from bike rack; loss $1550.00,2020-09-14 15:44:00,Expensive,32.8748,-117.22121
Petty Theft,Seventh College West Building 3,Unknown subject took reporting party's skateboard from laundry room,2020-10-03 14:39:00,Low,32.8874454,-117.2427202
Petty Theft ‐ Bicycle,La Jolla Del Sol,Bike officer impounded unsecured bicycle,2020-10-06 00:00:00,Low,32.8655512,-117.2230338
Petty Theft ‐ Bicycle,Center Hall,"Unknown suspect(s) stole parts from bicycle, Loss $700.00",2020-10-09 13:00:00,Expensive,32.8775468,-117.2374084
Petty Theft ‐ Bicycle,9906 Scholars Dr North,"Unknown suspect(s) stole front tire from victims bike, Loss$ 85.00",2020-10-13 09:30:00,Medium,32.8853045,-117.2425095
Petty Theft ‐ Bicycle,UCSD Police Department,"Questsoins regarding theft of bicycle, victim will make report once all needed information is had",2020-10-17 12:36:00,Low,32.8826508,-117.2296864
Petty Theft,Scholars Dr North,Unknown subject stole battery pack from bicycle,2020-10-25 10:28:00,Low,32.8842874,-117.2424066
Petty Theft ‐ Bicycle,Seventh College West #8,Sound of bike locks being broken after 2 males seen near bike racks,2020-11-01 01:22:00,Low,,
Theft,Sulpizio Cardiovascular Center,Bicycle stolen from bike rack,2020-11-01 19:45:00,Low,32.8788723,-117.225894
Grand Theft ‐ Micro Mobility Device (Motor Vehicle Theft),Meteor Hall,"Unknown subject took victim's electric bicycle, loss 2,400.00",2020-11-07 22:00:00,Low,32.8738214,-117.2419498
Petty Theft,Argo Hall,Subject possibly cutting bike locks,2020-11-18 11:56:00,Low,32.8745162,-117.2416218
Petty Theft - Bicycles,Central Mesa Apts,"2 bikes missing from bike cage, will call back if reporting party wants to file theft report",2020-11-22 11:28:00,Low,32.87382780000001,-117.2215649
Theft ‐ Bicycle,Price Center Target,"Stolen electric bicycle, loss $500.00",2020-12-16 21:35:00,Expensive,32.8798916,-117.2363115
Petty Theft,One Miramar Street,"Unknown suspect(s) removed bicycle's handlebars, loss $100.00",2020-12-27 15:22:00,Medium,32.8737372,-117.2268607
Petty Theft ‐ Bicycle,La Jolla Del Sol Apartments,"Bicycle stolen from outside bike rack, loss $230.00",2021-01-17 17:30:00,Expensive,32.8655512,-117.2230338
Petty Theft,Thurgood Marshall Res Hall,"Unknown suspect(s) stole victims electric scooter from bike rack, Loss $300.00",2021-01-29 16:30:00,Expensive,,
Petty Theft ‐ Bicycle,Telemedicine Center,"Stolen bicycle and cable lock, loss $670.00",2021-02-09 15:00:00,Expensive,,
Petty Theft,10010 N. Torrey Pines Rd.,"Unattended skateboard stolen from bushes, loss $180.00",2021-02-11 15:15:00,Expensive,32.8865305,-117.2442547
Petty Theft ‐ Bicycle,Tioga Hall,"Reporting party heard bike lock being cut, male was seen getting on bike and rode away, Loss $549.00",2021-02-12 23:47:00,Expensive,32.8790439,-117.2433669
Petty Theft ‐ Bicycle Parts,Del Sol Apts,"Unknown suspect(s) sawed off battery pack from electric bike, Loss $500.00",2021-02-15 13:45:00,Expensive,,
Petty Theft ‐ Bicycle,8212 Regents Rd,"Unknown suspect(s) stole bike lights and attempted to steal victims bike, Loss $25.00",2021-02-15 21:30:00,Low,32.8655293,-117.2221768
Petty Theft ‐ Bicycle,Warren Mall,Male seen taking apart bikes at bike rack,2021-02-17 16:24:00,Low,32.881153,-117.2348495
Petty Theft ‐ Bicycle,La Jolla Del Sol Apts,"Unknown suspect(s) stole victim's front and rear bike tires, Loss $200.00",2021-02-18 18:30:00,Expensive,32.8655512,-117.2230338
Report of Petty Theft,Marshall Apartments,"Subject reported bicycle 0stolen, stated was going to make an online report",2021-02-25 14:57:00,Low,,
Petty Theft,Price Center,Subject seen removing bicycle parts from a secured bicycle,2021-02-25 18:40:00,Low,32.8797205,-117.2361952
Petty Theft ‐ Micro Mobility Device,Main Gym,"Electric bicycle, loss $500.00",2022-03-05 20:45:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,9450 Gilman Dr,"Unknown suspect(s) stole secured electric bike, Loss $800.00",2021-03-28 22:10:00,Expensive,32.8728214,-117.2353492
Petty Theft ‐ Bicycle,Central Mesa Apts,Male suspect seen cutting bike lock and riding away from area,2021-04-13 10:09:00,Low,32.87382780000001,-117.2215649
Petty Theft,La Jolla Del Sol Apartments,Report of bicycle parts tampered with,2021-05-01 10:45:00,Low,32.8655512,-117.2230338
Petty Theft ‐ Bicycle,1 Miramar St,"Bicycle helmet stolen off of bicycle, Loss $53.88",2021-05-06 00:05:00,Medium,32.8737372,-117.2268607
Stolen Vehicle/Petty Theft of Micro Mobility Device,Muir College,"Stolen black electric bicycle, loss $1,000.00",2021-05-15 14:05:00,Medium,32.8809823,-117.2424177
Stolen Vehicle/Micro Mobility Device Theft,NTPLL ‐ Parking,"Stolen electric scooter, loss $700.00",2021-05-26 22:00:00,Expensive,,
Petty Theft,NTPLL ‐ Tapestry,Unknown subject seen using electric tool to steal bike from bike rack,2021-07-07 02:47:00,Low,32.8799203,-117.2429952
Petty Theft ‐ Bicycle,La Jolla del Sol,"Bicycle's rear wheel was removed, loss $300.00",2021-07-07 12:21:00,Expensive,32.8655512,-117.2230338
Stolen Vehicle ‐ Theft Of Micro Mobility Device,Discovery Hall,"Stolen electric scooter, loss $500.00",2021-07-14 22:00:00,Expensive,32.8740494,-117.2419356
Stolen Vehicle / Grand Theft: Micro Mobility Device,NTPLL ‐ Kaleidoscope,"Electric bicycle stolen from bike rack, loss $2,320.84",2021-07-18 21:00:00,Expensive,32.8806688,-117.2430773
Petty Theft ‐ Bicycle,Stein Clinical Research Bldg,Unknown male seen cutting bike lock and riding away from area,2021-07-21 11:14:00,Low,32.8968497,-117.2424287
Petty Theft ‐ Bicycle/Vandalism,Mesa Nueva ‐ Arena,"Unknown suspect stole bicycle from bike rack, loss $289.99",2021-07-25 00:36:00,Expensive,32.8747057,-117.2228857
Theft,Moores Cancer Center,Stolen bicycle,2021-09-08 08:00:00,Low,32.8786467,-117.2230577
Petty Theft ‐ Bicycle,Osler Parking Structure,Male seen removing bike tires from various bikes,2021-09-18 18:15:00,Low,32.8739818,-117.2373189
Petty Theft,UCSD Medical Facility ‐ Hillcrest Parking Lot,"Stolen bike rack from vehicle, loss $100.00",2021-09-22 16:50:00,Medium,,
Petty Theft,Peterson Hall,"Unknown suspect stole parts from bicycle, requesting phone call from Bike Enforcement Officer",2021-10-01 10:30:00,Low,32.8799725,-117.2403292
Petty Theft ‐ Micro Mobility Device,La Jolla Del Sol Apartments,"Report of stolen electric bicycle from carport, loss $900.00",2021-09-20 21:00:00,Expensive,32.8655512,-117.2230338
Petty Theft,Seventh College,Stolen bicycle,2021-10-09 08:10:00,Low,32.8879708,-117.2421264
Petty Theft,Warren Apartments,"Unknown suspect(s) stole a bicycle battery pack, loss $540.00",2021-10-20 21:30:00,Expensive,32.8822443,-117.2341198
Petty Theft of Micro Mobility Device,Canyon Vista,"Electric scooter, loss $450.00",2021-10-20 17:00:00,Expensive,,
Petty Theft,Marshall College,"Stolen scooter, loss $30.00",2021-10-15 17:00:00,Low,32.8831443,-117.2431716
Theft of Bicycle or Bicycle Part,Computer Sciences and Engineering Building,"Unknown suspect(s) removed two lights from bicycle, loss $20.00",2021-11-01 22:17:00,Low,,
Grand Theft of Micro Mobility Device,La Jolla Del Sol Apts,"Electric bicycle, Loss $1,600.00",2021-10-28 21:00:00,Expensive,32.8655512,-117.2230338
Petty Theft of Micro Mobility Device,Sixth College Apts,"Electric scooter, Loss $460.00",2021-11-03 10:30:00,Expensive,32.8807011,-117.2420455
Theft ‐ Micro Mobility Device,Canyon Vista,"Electric scooter, loss $400.00",2021-11-04 20:30:00,Expensive,,
Petty Theft Of Micro Mobility Device,Sequoyah Hall,"Stolen electric scooter, loss $500.00",2021-11-08 20:00:00,Expensive,32.8821398,-117.2405491
Petty Theft Of Micro Mobility Device,Sixth College / Blue Bowl Restaurant,"Stolen electric scooter, loss $450.00",2021-11-08 20:30:00,Expensive,32.8807011,-117.2420455
Petty Theft Of Micro Mobility Device,Applied Physics And Math Bldg,"Stolen electric scooter, loss $800.00",2021-11-08 20:50:00,Expensive,32.8795424,-117.2411535
Petty Theft Of Micro Mobility Device,Geisel Library,"Electric bicycle, Loss $450.00",2021-11-09 23:30:00,Expensive,32.881092,-117.2375659
Theft Of Micro Mobility Device,Marshall Uppers Apts G,"Electric Scooter, Loss $268.00",2021-11-10 21:10:00,Expensive,32.8833158,-117.2417072
Petty Theft,Gilman Dr,"Stolen electric scooter, loss $360.00",2021-11-14 07:00:00,Expensive,32.8648237,-117.2364128
Grand Theft Of Micro Mobility Device,Social Sciences Research Building,"Unknown suspect(s) stole victim's electric scooter, loss $950.00",2021-11-15 22:30:00,Expensive,32.8807041,-117.2400766
Grand Theft Of Micro Mobility,Price Center,"Stolen electric scooter, loss $949.99",2021-11-16 19:30:00,Expensive,32.8797205,-117.2361952
Petty Theft Of Micro Mobility Device,7th College,"Stolen electric scooter, loss $800.00",2021-11-17 11:25:00,Expensive,,
Petty Theft,South Mesa Apartments,"Stolen bicycle lights, loss $40.00",2021-11-19 10:32:00,Low,,
Petty Theft,Voigt Dr/ Matthew Ln,"Stolen bicycle, loss $120.00",2021-11-21 20:00:00,Low,32.8811362,-117.2295642
Grand Theft Of Micro Mobility Device,Seventh College West Building 3,"Stolen electric scooter, loss $1000.00",2021-11-28 20:00:00,Expensive,32.8874454,-117.2427202
Petty Theft ‐ Micro Mobility Device,Price Center ‐ Triton Statue,"Electric scooter stolen, loss $550.00",2021-11-28 22:05:00,Expensive,32.8797205,-117.2361952
Petty Theft ‐ Micro Mobility Device,Library Walk,"Unknown suspect(s) stole electric scooter from bike rack, Loss $318.20",2021-11-30 16:50:00,Expensive,32.8787741,-117.2375612
Petty Theft ‐ Micro Mobility Device,Library Walk,"Unknown suspect(s) stole electric scooter from bike rack, Loss $800.00",2021-11-30 19:30:00,Expensive,32.8787741,-117.2375612
Petty Theft Of Micro Mobility Device,Douglas Hall,"Stolen electric scooter, loss $500.00",2021-12-03 00:00:00,Expensive,32.8832565,-117.232967
Petty Theft Micro Mobility Device,Central Campus Trolley Station,"Loss $300.00, Electric Scooter",2021-12-03 21:00:00,Expensive,,
Petty Theft Micro Mobility Device,Central Campus Trolley Station,"Electric scooter, loss $600.00",2021-12-04 15:35:00,Expensive,,
Petty Theft Micro Mobility Device,Central Campus Trolley Station,"Electric scooter, loss $600.00",2021-12-04 15:45:00,Expensive,,
Petty Theft Of Micro Mobility Device,Scholars Dr North,"Stolen electric scooter, loss $350.00",2021-12-05 19:20:00,Expensive,32.8842874,-117.2424066
Petty Theft Of Micro Mobility Theft,Seventh College West,"Stolen electric scooter, loss $400.00",2021-12-07 03:30:00,Expensive,32.8880662,-117.2425365
Petty Theft of Micro Mobility Device,Warren Lecture Hall,"Stolen electric bicycle, loss $900.00",2021-12-09 11:30:00,Expensive,32.8805918,-117.2344208
Petty Theft of Micro mobility Device,RIMAC,"Stolen electric scooter, loss $800.00",2021-12-09 21:00:00,Expensive,32.8851041,-117.2404977
Petty Theft Micro Mobility Device,Seventh College East #1,"Electric bicycle, loss $765.00",2021-12-10 19:00:00,Expensive,32.8886055,-117.2422681
Petty Theft Micro Mobility Device,Tenaya Hall Residence,"Electric scooter, loss $948.00",2021-12-10 20:15:00,Expensive,32.8794203,-117.2428555
Petty Theft,Tapestry,Subject taking bicycle part,2021-12-12 21:00:00,Low,,
Attempt Petty Theft ‐ Bicycle,Seventh College West #2,Reporting party observed unknown male cutting bike lock,2021-12-18 22:45:00,Low,,
Petty Theft ‐ Bicycle,Seventh College West #2,"Suspect arrested, after officers received report of possible bike theft in progress, loss/recovery $400.00",2021-12-19 00:07:00,Expensive,,
Petty Theft ‐ Bicycle,One Miramar St,"Unknown suspect(s) entered locked bike room, stole victim's bicycle seat, no signs of forced entry, Loss $100.00",2021-12-22 21:25:00,Medium,32.8737372,-117.2268607
Petty Theft Of Micro Mobility Device,Mesa Nueva ‐ Cresta,"Unknown suspect(s) used unknown tool to cut through bike locks and stole two e‐bikes, loss $660.00",2021-12-28 17:17:00,Expensive,32.875004,-117.2229999
Petty Theft,Scholars Dr North,"Unknown suspect(s) stole bicycle accessory bag, loss $50.00",2021-12-31 12:00:00,Medium,32.8842874,-117.2424066
Petty Theft Micro Mobility Device,Challenger Hall,"Electric scooter, Loss $650.00",2022-01-05 22:30:00,Expensive,32.8741459,-117.2423273
Grand Theft Micro Mobility Device,One Miramar St Bldg 3,"Electric Bicycle, Loss $1,500.00",2022-01-05 11:30:00,Low,32.8737372,-117.2268607
Grand Theft: Micro Mobility Device,Seventh College West,"Electric bicycle stolen from bike rack, loss $2,200, damage $141.00",2022-01-08 22:00:00,Expensive,32.8880662,-117.2425365
Petty Theft ‐ Bicycle,Price Center,"Subject stole reporting party's bicycle that was later recovered, consumable goods were missing, loss $8.00",2022-01-13 13:05:00,Low,32.8797205,-117.2361952
Petty Theft of Micro Mobility Device,Marshall Lowers,"Electric Scooter stolen from bike rack, loss $625.00",2022-01-16 22:00:00,Expensive,32.8826158,-117.239135
Petty Theft ‐ Micro Mobility Device,Structural And Material Engineering Bldg,"Electric Scooter, Loss $830.00",2022-01-18 12:45:00,Expensive,32.8800218,-117.2329402
Grand Theft ‐ Bicycle,Thurgood Marshall Res Hall,"Electric bicycle, loss $1,394.00",2022-01-18 23:00:00,Low,,
Petty Theft Micro Mobility Device,Asante Hall Bike Rack,"Electric scooter, Loss $400.00",2022-01-20 20:00:00,Expensive,32.8799072,-117.2391616
Petty Theft ‐ Micro Mobility Device,Canyon Vista Admin,"Electric scooter, Loss $400.00, damaged lock $15.00",2022-01-20 16:30:00,Expensive,32.8838146,-117.2334419
Petty Theft ‐ Micro Mobility Device,Gilman Dr,"Electric scooter, loss $280.00",2022-01-21 17:10:00,Expensive,32.8648237,-117.2364128
Petty Theft ‐ Micro Mobility Device,UCSD Central Campus Trolley Station,"Electric scooter, loss $549.00",2022-01-21 21:00:00,Expensive,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Sanford Consortium Parking Lot,"Electric bicycle, Loss $730.00",2022-01-14 16:00:00,Expensive,32.889588,-117.2440291
Petty Theft ‐ Micro Mobility Device,Geisel Library Bike Rack,"Electric scooter, Loss $400.00",2022-01-22 17:39:00,Expensive,32.881092,-117.2375659
Burglary / Petty Theft of Micro Mobility Device,Marshall Lower Apartments,"Unknown subject entered unlock entrance and stole multiple items including an electric scooter, Loss $2,291.00",2022-01-27 20:00:00,Expensive,32.8826158,-117.239135
Petty Theft ‐ Micro Mobility Device,Geisel Library,"Electric scooter, Loss $708.00",2022-01-30 16:00:00,Expensive,32.881092,-117.2375659
