Date Reported,Date Occurred,Time Occurred,Incident Type,Location,Incident/Case#,Summary,Disposition,Timestamp,Price Category,Latitude,Longitude
01-03-2020,01-03-2020,2:01 PM,Petty Theft/Vandalism,Black Hall,2020‐0008,"Spin scooter stolen/recovered, tampered with electronically",Report Taken,2020-01-03 14:01:00,Medium,32.8821063,-117.2327146
01-06-2020,01-06-2020,12:13 PM,Petty Theft,Thurgood Marshall Ln/Scholars Dr North,2001060033,"Bicycle theft, victim will file online report when serial number is acquired",Service Provided,2020-01-06 12:13:00,Low,32.8837304,-117.2424096
01-06-2020,01-06-2020,4:05 PM,Petty Theft,Engineering Building Unit 3B,2020‐0021,"Electric scooter, u‐lock stolen; loss $550",Report Taken,2020-01-06 16:05:00,Expensive,,
01-07-2020,01-07-2020,4:05 PM,Petty Theft,Tioga Hall,2020‐0026,Bicycle stolen; loss $275,Report Taken,2020-01-07 16:05:00,Medium,32.8790439,-117.2433669
01-07-2020,01-07-2020,8:10 AM ‐ 2:30 PM,Theft,Lebon Dr,T20000008,Bicycle stolen; loss $30,Online Report,2020-01-07 14:30:00,Low,32.8678861,-117.2247509
01-08-2020,01/08/20 ‐ 01/09/20,6:45 PM ‐ 8:45 AM,Bicycle Theft,Regents Rd,T20000012,Bicycle stolen; loss $400,Online Report,2020-01-09 18:45:00,Medium,32.8552295,-117.2176209
01-08-2020,01/08/20 ‐ 01/09/20,12:00 AM ‐ 6:30 AM,Theft,Sixth College Apartment,T20000011,Electric scooter stolen; loss $600,Online Report,2020-01-09 06:30:00,Expensive,32.8807011,-117.2420455
01-08-2020,01-08-2020,7:10 PM ‐ 10:00 PM,Bicycle Theft,Miramar Street,2020‐0037,"Bicycle frame, back tire stolen; loss $400",Online Report,2020-01-08 22:00:00,Medium,32.8735076,-117.2238704
01-09-2020,01-09-2020,2:53 PM,Bicycle Theft,Muir Commons,2001090032,"Bicycle stolen, will call back at later time after gathering information on bicycle",Cancelled,2020-01-09 14:53:00,Medium,,
01-09-2020,01-09-2020,9:15 AM ‐ 2:00 PM,Theft,Revelle Keeling South Tower Apartments,T20000013,Front wheel of bicycle stolen; loss $125,Online Report,2020-01-09 14:00:00,Medium,,
1/13/2020,1/13/2020,7:49 PM,Petty Theft,Robert Paine Center,2001130051,Unknown male possibly cutting locks off bikes; subject pumping up their bike tire,Checks OK,2020-01-13 19:49:00,Low,,
1/20/2020,1/20/2020,2:30 PM,Petty Theft,Mesa Nueva Building B,2020‐0133,"Unknown suspect was seen walking away with a bicycle and UCSD bicycle rack, victim or amount of loss for bicycle unknown at this time, loss of bicycle rack $200.00",Report Taken,2020-01-20 14:30:00,Medium,32.8756502,-117.2224578
1/22/2020,1/21/2020,5:15 PM,Petty Theft ‐ Bicycle,UCSD Medical Facility ‐ Hillcrest,HC20‐01‐21‐0124,Bicycle was stolen from the employee bike rack,Referred to Other Agency ‐ San Diego Police Department,2020-01-21 17:15:00,Low,,
1/24/2020,1/17/20 ‐ 1/24/20,12:00 AM ‐ 12:20 PM,Petty Theft ‐ Bicycle,Mesa Nueva Fitness Facility Bicycle Rack,2020‐0182,"Victim's bicycle and entire bicycle rack stolen, loss $700.00",Online Report,2020-01-24 12:20:00,Expensive,32.8756502,-117.2224578
01/24/20,1/17/20 ‐ 1/24/20,12:00 AM ‐ 12:20 PM,Bicycle Theft,Miramar Street,2020‐0182,Bicycle stolen; loss $600,Online Report,2020-01-24 12:20:00,Expensive,32.8735076,-117.2238704
01/28/20,01/28/20,8:17 PM,Petty Theft,Natural Sciences Building,2020‐0200,Bicycle with cable stolen; loss $210,Report Taken,2020-01-28 20:17:00,Medium,32.8752882,-117.2423111
01/29/20,01/29/20,1:30 PM ‐ 3:05 PM,Theft,Pepper Canyon Hall,T20000044,Razor scooter stolen; loss $59.98,Online Report,2020-01-29 15:05:00,Low,32.8783769,-117.2337607
01/30/20,01/30/20,7:00 PM ‐ 10:30 PM,Petty Theft,Geisel Library,2020‐0217,Electric scooter stolen; loss $634.65,Report Taken,2020-01-30 22:30:00,Expensive,32.881092,-117.2375659
01/30/20,01/07/20 ‐ 01/11/20,4:55 PM ‐ 2:55 PM,Theft,Keeling Apartment,2020‐0220,Black electric skateboard stolen; loss $700,Online Report,2020-01-11 16:55:00,Expensive,,
02-07-2020,02-06-2020,8:15 AM - 7:15 PM,Petty Theft - Bicycle,1 Miramar Bldg 2,2020-0268,Unknown suspect(s) stole bike from storage room,Online Report,2020-02-06 19:15:00,Low,,
02-07-2020,02-06-2020,10:00 AM - 11:45 AM,Grand Theft - Bicycle,East Campus Office Building,2020-0269,Unknown suspect(s) stole bike off back of vehicle; Loss $7500,Disposition Report Taken,2020-02-06 11:45:00,Expensive,32.8764715,-117.2274676
02-07-2020,2/6/2020 - 2/7/2020,5:55 PM - 9:55 AM,Petty Theft - Bicycle,Tioga Residence Hall,T20000066,Unknown suspect(s) stole bike from bike rack; Loss $549,Disposition Online Report,2020-02-07 17:55:00,Expensive,,
02/14/20,02-12-2020,6:30 PM ‐ 10:00 PM,Theft,Cognitive Science Building,T20000074,Bicycle stolen; loss $150,Online Report,2020-02-12 22:00:00,Medium,32.8805813,-117.2395409
02/18/20,02/18/20,10:39 PM,Petty Theft,Computer Sciences and Engineering Building,2020‐0330,Electric scooter stolen; loss $450,Report Taken,2020-02-18 22:39:00,Medium,,
02/18/20,02/18/20,12:00 PM ‐ 6:45 PM,Bicycle Theft,Leichtag Building,T20000079,Bicycle stolen; loss $400,Online Report,2020-02-18 18:45:00,Medium,32.8767963,-117.2372406
02/18/20,02/15/20,7:00 AM ‐ 8:30 PM,Bicycle Theft,Hopkins Dr,T20000078,Electric bicycle stolen; loss $299,Online Report,2020-02-15 20:30:00,Medium,32.8862472,-117.2386908
2/19/2020,2/19/2020,4:20 PM ‐ 6:20 PM,Bicycle Theft,UC San Diego Campus,T20000083,Bicycle stolen; loss $800,Online Report,2020-02-19 18:20:00,Expensive,32.881168,-117.2343605
2/19/2020,2/19/2020,3:30 PM,Theft of Bicycle Parts,Sixth College Apartments,T20000082,Three bike seats stolen; loss $30,Online Report,2020-02-19 15:30:00,Low,32.8807011,-117.2420455
2/19/2020,2/15/20 ‐ 2/19/20,2:35 PM,Bicycle Theft,Scholars Dr,T20000081,Schwinn bicycle stolen; loss $500,Online Report,2020-02-19 14:35:00,Medium,32.8842874,-117.2424066
02/20/20,02/15/20,7:30 AM ‐ 8:30 PM,Bicycle Theft,Spanos Athletic Training Center,2020‐0347,Electric bicycle stolen; loss $400,Online Report,2020-02-15 20:30:00,Medium,,
02/20/20,2/15/20 ‐ 2/17/20,1:00 PM ‐ 4:00 PM,Theft,The Village West,2020‐0346,Black electric bicycle stolen; loss $420.21,Online Report,2020-02-17 16:00:00,Medium,,
2/29/2020,2/22/2020 - 2/24/2020,12:00 AM 0 12:00 AM,Petty Theft,Lyman Avenue,T20000095,"Stolen scooter, loss $200.00",Online Report,2020-02-24 00:00:00,Medium,32.8782848,-117.2385931
03/14/20,3/11/2020 ‐ 3/12/2020,Unknown,Petty Theft,Oceanview Terrace ‐ Bridge,T20000115,"Scooter locked up with bike lock stolen, loss $400.00",Online Report,2020-03-12 00:00:00,Medium,32.8831037,-117.2427668
03/15/20,3/11/2020 ‐ 3/13/2020,8:55 PM ‐ 1:00 PM,Petty Theft,Miramar St,2020‐0488,"Bicycle bag with student ID stolen from parked bike, loss $75.00",Online Report,2020-03-13 20:55:00,Low,32.8735076,-117.2238704
04-04-2020,04-04-2020,4:30 PM ‐ 4:40 PM,Petty Theft,Canyon Vista Dining Hall,2020‐0544,Unknown suspect stole unattended electric scooter outside dining hall,Report Taken,2020-04-04 16:40:00,Medium,,
04-04-2020,4/3/2020 ‐ 4/4/2020,12:00 PM ‐ 11:50 PM,Petty Theft ‐ Bicycle Part,Mesa Nueva ‐ Artesa,2020‐0546,"Stolen bicycle seat, loss $150.00",Report Taken,2020-04-04 23:50:00,Medium,32.87478000000001,-117.22222
4/29/2020,4/29/2020,3:06 PM,Petty Theft,Mesa Nueva ‐ Piedra,2020‐0609,Two bike racks stolen; loss $800,Report Taken,2020-04-29 15:06:00,Expensive,,
4/29/2020,4/28/2020,2:00 PM,Theft,UC San Diego Health ‐ La Jolla,LJ 20‐04‐28‐0492,Report of stolen bicycle,Hospital Security Report Taken,2020-04-28 14:00:00,Medium,32.881851,-117.223526
05-01-2020,3/16/2020,1:10 PM,Petty Theft ‐ Bicycle / Scooter,Sixth College Res Hall ‐ Bike Rack,T20000130,"Unknown suspect cut lock off bicycle and scooter, Loss $1,073.00",Online Report,2020-03-16 13:10:00,Medium,32.8807011,-117.2420455
5/23/2020,5/16/2020 ‐ 5/22/2020,3:00 PM ‐ 6:00 PM,Petty Theft,Mesa Nueva Parking ‐ Ola,2020‐0676,Unknown suspect(s) removed bike rack off vehicle; Loss $135.00,Report Taken,2020-05-22 18:00:00,Medium,32.8756502,-117.2224578
06-01-2020,06-01-2020,1:29 AM,Petty Theft ‐ Bicycle,Marshal College,2020‐0695,"RSO heard bike lock being cut, male suspect pulled bike away from bike rack and rode away: Loss $150.00",Arrest Cleared ‐ Cited Adult,2020-06-01 01:29:00,Medium,32.8831443,-117.2431716
06-04-2020,06-03-2020,5:00 PM,Petty Theft ‐ Bicycle,UCSD Medical Facility ‐ Hillcrest,HC20‐06‐03‐0919,"Unknown suspect took victim's bike from bike rack, Loss unknown",Hospital Security Report Taken,2020-06-03 17:00:00,Low,,
06-09-2020,06-09-2020,12:00 PM,Theft,Miramar Street,T20000146,Bicycle stolen; loss $459.99,Online Report,2020-06-09 12:00:00,Medium,32.8735076,-117.2238704
7/13/2020,07-12-2020,7:40 PM,Petty Theft ‐ Bicycle Parts,Arbor Parking Structure ‐ Hillcrest,HC20‐07‐12‐1137,"Lights stolen off bicycle, amount of loss unknown",Hospital Security Report Taken,2020-07-12 19:40:00,Medium,,
7/25/2020,7/24/2020 ‐ 7/25/2020,12:00 PM ‐12:20 AM,Petty Theft ‐ Bicycle,South Mesa Apts,2020‐0840,"Unknown suspect(s) stole unlocked bike from front of residence, Loss $150.00",Online Report,2020-07-25 12:00:00,Medium,,
08-04-2020,08-04-2020,7:55 AM ‐ 2:05 PM,Petty Theft ‐ Bicycle,Price Center East,2020‐0887,"Unknown suspect(s) stole items off bicycle, Loss $151.00",Report Taken,2020-08-04 14:05:00,Medium,32.8794123,-117.2368497
8/20/2020,8/19/2020 ‐ 8/20/2020,10:00 PM ‐ 1:45 PM,Petty Theft / Injury,East Campus Medical Center Central Plant,2020‐0937,"Unknown suspect(s) stole part off front bicycle wheel, victim crashed and sustained an injury",Report Taken,2020-08-20 22:00:00,Medium,32.8773757,-117.2250874
09-04-2020,09/02/20 ‐ 09/04/20,3:00 PM ‐ 11:35 PM,Bicycle Theft,Mesa Nueva ‐ Artesa,2020‐0970,Electric bicycle stolen; loss $2000.00,Report Taken,2020-09-04 23:35:00,Expensive,32.87478000000001,-117.22222
09-04-2020,08/29/20 ‐ 09/04/20,8:00 PM ‐ 3:00 PM,Bicycle Theft,Mesa Nueva ‐ Cresta,2020‐0969,Bicycle stolen; loss $250,Report Taken,2020-09-04 20:00:00,Medium,32.875004,-117.2229999
9/14/2020,9/14/2020,3:44 PM,Grand Theft: Bicycle,Nuevo East ‐ Tierra,2020‐1000,Bicycle stolen from bike rack; loss $1550.00,Report Taken,2020-09-14 15:44:00,Expensive,32.8748,-117.22121
