type,price,location,date,time,weather,rain
bicycle,200,mesa nueva - cala,09/04/2022,04:30,65.1,0.0
bicycle,500,regents rd,09/05/2022,04:30,65.1,0.0
bicycle,330,sixth college,09/02/2022,13:00,68.8,0.0
scooter,1004,innovation ln foodworx,06/30/2022,20:00,67.4,0.0
scooter,1004,innovation ln foodworx,07/01/2022,21:00,69.7,0.0
scooter,1004,innovation ln foodworx,07/25/2022,21:00,64.5,0.0
scooter,1004,innovation ln foodworx,06/30/2022,21:00,67.5,0.0
bicycle,350,europe hall / asia hall,09/07/2022,01:10,68.8,0.0
bicycle,300,matthews apartments,09/14/2022,19:20,69.7,0.0
bicycle,-1,warren apts - douglas hall,09/16/2022,12:02,69.7,0.0
bicycle,1242,tioga hall,09/17/2022,12:04,65.6,0.0
bicycle,800,seventh  bldg.,09/17/2022,01:05,67.8,0.0
bicycle,1200,trolley - central campus stop,09/17/2022,13:06,66.0,0.0
bicycle,220,scholars dr north,09/16/2022,19:00,63.6,0.0
scooter,558,rimac,09/17/2022,19:13,65.5,0.0
scooter,430,marshall upper apts m,09/19/2022,04:45,74.7,0.0
bicycle,419,one miramar st - ,09/20/2022,01:25,69.1,0.0
bicycle,1039,asia hall,09/20/2022,04:15,76.1,0.0
bicycle,1200,"residence hall, dorm",09/22/2022,05:05,77.6,0.0
scooter,799,7th college  bldg 3,09/21/2022,18:45,65.3,0.0
bicycle,1500,center hall,09/22/2022,19:00,65.1,0.0
bicycle,200,village  building,09/23/2022,00:00,69.4,0.0
bicycle,500,seventh college ,09/26/2022,13:30,70.3,0.0
bicycle,600,seventh college ,09/23/2022,15:28,68.6,0.0
bicycle,627,galathea ,09/24/2022,07:00,80.3,0.0
bicycle,-1,trolley - central campus stop,09/26/2022,00:03,69.1,0.0
bicycle,1000,ucsd police department,09/26/2022,08:37,77.4,0.0
bicycle,300,7th college building,09/22/2022,02:15,71.8,0.0
bicycle,450,tenaya hall,09/26/2022,20:35,66.4,0.0
bicycle,800,ebu2,09/23/2022,14:00,69.4,0.0
