datetime,temperature,precipitation
2022-09-17 12:04:00,65.6,0.0
2022-09-17 01:05:00,67.8,0.0
2024-09-17 13:06:00,64.1,0.0
2022-09-16 19:00:00,63.6,0.0
2023-09-17 19:13:00,65.6,0.2
2023-09-19 04:45:00,72.8,0.0
2024-09-20 01:25:00,65.3,0.6
2022-09-20 04:15:00,76.1,0.0
2024-09-22 05:05:00,72.1,0.0
2023-09-21 18:45:00,62.2,0.0
datetime,temperature,precipitation
2024-09-19 18:00:00,62.1,0.1
2022-09-19 18:00:00,65.1,0.0
2022-09-28 12:15:00,68.8,0.0
2023-09-28 17:30:00,61.1,0.0
2023-09-28 11:30:00,65.1,0.0
2024-09-28 21:15:00,58.3,0.0
2024-09-29 17:30:00,59.8,0.0
2024-09-28 12:15:00,63.2,0.0
2024-09-28 11:30:00,64.1,0.0
2022-09-28 11:15:00,69.7,0.0
2024-09-04 04:30:00,84.2,0.0
2023-09-05 04:30:00,71.2,0.1
2022-09-02 13:00:00,73.9,0.0
2022-06-30 20:00:00,64.4,0.0
2023-07-01 21:00:00,62.9,0.0
2023-07-25 21:00:00,65.6,0.0
2022-06-30 21:00:00,65.6,0.0
2023-09-07 01:10:00,67.2,0.0
2023-09-14 19:20:00,63.7,0.0
2023-09-16 12:02:00,67.0,0.0
2023-09-22 19:00:00,64.3,0.0
2023-09-23 00:00:00,65.2,0.0
2023-09-26 13:30:00,65.0,0.0
2022-09-23 15:28:00,68.6,0.0
2022-09-24 07:00:00,80.3,0.0
2022-09-26 00:03:00,69.1,0.0
2024-09-26 08:37:00,71.2,0.0
2024-09-22 02:15:00,68.6,0.0
2023-09-26 20:35:00,59.5,0.0
2022-09-23 14:00:00,69.4,0.0
2022-09-29 15:15:00,68.1,0.0
2023-09-28 00:00:00,62.0,0.0
2024-09-30 16:25:00,63.1,0.0
2023-04-02 13:35:00,55.2,0.0
2023-04-03 01:20:00,53.4,0.0
2022-04-03 11:30:00,57.8,0.0
2023-04-02 11:37:00,55.9,0.0
2023-03-20 10:00:00,54.6,0.4
2022-04-07 16:34:00,61.3,0.0
2023-04-06 19:50:00,47.4,0.0
2024-04-28 12:15:00,59.1,0.0
2024-04-29 09:25:00,65.4,0.0
2023-04-29 13:15:00,56.6,0.0
2024-02-28 19:10:00,52.0,0.0
2024-03-01 13:15:00,53.7,0.0
2023-03-01 22:30:00,38.9,0.0
2023-03-04 03:30:00,53.5,0.0
2023-03-02 18:00:00,41.7,0.0
2022-03-05 02:35:00,55.5,0.2
2024-03-05 19:52:00,50.1,0.0
2024-04-21 00:00:00,58.1,0.0
2023-04-22 06:05:00,74.9,0.0
2023-04-22 13:00:00,59.5,0.0
2023-04-23 23:22:00,56.0,0.0
2022-04-24 13:22:00,65.2,0.0
2024-04-25 20:52:00,55.0,0.0
2024-04-25 20:37:00,55.0,0.0
2024-04-24 13:40:00,57.2,0.0
2023-04-26 23:00:00,56.6,0.0
2022-04-27 21:00:00,56.3,0.1
2022-04-11 07:30:00,62.9,0.0
2023-04-12 21:05:00,52.3,0.3
2022-04-12 10:00:00,60.4,0.0
2023-04-13 13:00:00,51.4,0.0
2023-04-14 16:20:00,50.5,0.0
2022-04-13 13:00:00,55.8,0.0
2024-04-16 07:22:00,66.8,0.0
2023-04-16 11:37:00,54.1,0.0
2023-04-19 12:50:00,54.8,0.0
2023-04-19 12:45:00,54.8,0.0
2024-03-10 14:40:00,53.6,0.0
2024-03-11 21:25:00,53.5,0.1
2022-03-12 02:34:00,67.7,0.0
2023-03-11 21:05:00,55.7,0.0
2022-03-14 07:40:00,66.6,0.0
2024-03-11 20:45:00,53.2,0.2
2023-03-17 00:00:00,47.1,0.0
2023-03-12 22:55:00,54.4,0.0
2022-03-17 02:15:00,64.1,0.0
2024-03-21 14:15:00,54.4,0.0
2023-03-04 14:15:00,49.4,0.0
2024-03-06 05:47:00,60.4,0.0
2022-03-04 14:15:00,54.1,0.1
2022-03-07 16:20:00,47.4,0.0
2024-03-07 16:52:00,50.5,0.0
2024-03-07 19:14:00,49.4,0.0
2024-03-07 19:27:00,49.4,0.0
2023-03-07 04:55:00,57.1,0.0
2023-03-08 19:04:00,43.8,0.0
2024-03-06 11:59:00,53.4,3.8
2024-03-21 15:00:00,53.2,0.0
2024-03-26 04:00:00,59.7,0.1
2023-02-03 00:30:00,50.3,0.0
2024-03-29 20:15:00,53.3,1.9
