time_range,bicycle,scooter,skateboard
"[0, 1)",0.7123287671232876,0.2876712328767123,0.0
"[1, 2)",0.7808219178082192,0.2191780821917808,0.0
"[2, 3)",0.8051948051948052,0.18181818181818182,0.012987012987012988
"[3, 4)",0.7142857142857143,0.2857142857142857,0.0
"[4, 5)",0.7272727272727273,0.2727272727272727,0.0
"[5, 6)",0.6981132075471698,0.3018867924528302,0.0
"[6, 7)",0.717948717948718,0.28205128205128205,0.0
"[7, 8)",0.7,0.3,0.0
"[8, 9)",0.5471698113207547,0.4528301886792453,0.0
"[9, 10)",0.704225352112676,0.29577464788732394,0.0
"[10, 11)",0.5405405405405406,0.4594594594594595,0.0
"[11, 12)",0.5851063829787234,0.40425531914893614,0.010638297872340425
"[12, 13)",0.6619718309859155,0.3380281690140845,0.0
"[13, 14)",0.6728971962616822,0.3177570093457944,0.009345794392523364
"[14, 15)",0.5185185185185185,0.4666666666666667,0.014814814814814815
"[15, 16)",0.5,0.46153846153846156,0.038461538461538464
"[16, 17)",0.5362318840579711,0.4492753623188406,0.014492753623188406
"[17, 18)",0.5,0.5,0.0
"[18, 19)",0.48314606741573035,0.5168539325842697,0.0
"[19, 20)",0.4336283185840708,0.5663716814159292,0.0
"[20, 21)",0.4326923076923077,0.5673076923076923,0.0
"[21, 22)",0.5333333333333333,0.44,0.02666666666666667
"[22, 23)",0.5384615384615384,0.4423076923076923,0.019230769230769232
"[23, 24)",0.6590909090909091,0.29545454545454547,0.045454545454545456
